y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33
1,18,2,2,2,3,2,2,2,5,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,0,0,5,0,1,0,1,0,0,0,1,6,1,0,2,2,0,3,1,0,0,0,0,0,1,1,7,4,2,0,0,0,0,0
0,0,0,5,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,7,0,0,0,0,0,0,0,7,6,2,0,1,1,0,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0
1,1,0,1,0,0,0,1,0,0,0,2,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,9,0,0,0,0,9,0,0,1,4,1,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,4,0,0,14,0,0,1,11,1,0,1,1,0,0,0,0,0,2,0,0,0,1,0,2,0,5,0,0,0,0
0,0,0,2,0,0,0,4,3,0,6,1,0,1,5,0,0,0,4,0,0,0,4,0,0,0,0,0,3,2,0,1,1,0,0
1,8,0,4,2,0,0,0,0,0,0,1,0,1,0,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,4,7,0,5,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,16,0,0,1,0,1,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,4,0,0
0,0,0,2,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,1,0,1,0,4,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,6,0,0,0,0,0,0,0,1,6,1,0,3,3,0,0,0,0,0,0,0,0,0,1,0,4,0,0,9,0,0,0
0,0,0,0,0,1,0,0,4,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,2,0
0,0,0,3,0,0,0,12,0,0,13,1,1,1,15,2,2,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,1,1,0,1,0,0,0,6,0,14,0,0,10,1,0,0,0,0,0,0
1,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1,21,3,2,1,0,3,2,0,12,3,0,5,3,4,0,0,1,1,0,0,3,1,3,0,0,0,1,0,0,0,0,0,0,0
1,12,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,5,0,0,1,2,0,0,0,0,1,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,6,0,0,0,1,6,0,3,1,14,1,0,4,4,0,4,1,0,0,4,0,0,1,4,0,4,4,2,0,0,0,0
0,0,0,0,0,1,0,2,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0
0,0,0,3,2,1,0,1,3,0,0,0,3,0,0,5,5,0,1,0,0,0,1,0,0,1,1,0,6,0,7,0,0,0,0
0,0,0,5,0,1,6,1,7,0,0,1,5,1,0,1,1,0,1,2,0,0,1,0,2,1,2,0,3,0,0,0,1,0,0
0,0,0,4,0,0,0,8,0,0,2,1,4,1,2,0,0,0,2,0,0,0,0,0,6,3,0,0,2,0,0,0,0,0,13
1,26,2,13,1,21,0,5,0,0,5,1,0,1,5,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0,2,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,7,0,0,0,0,7,0,0,0,11,0,0,6,6,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,4,0,0
0,1,0,2,5,0,0,0,4,0,0,1,2,2,0,1,1,0,1,0,0,1,1,0,0,0,2,0,2,1,0,3,3,0,0
1,23,0,2,0,0,2,1,2,0,0,0,6,0,0,0,0,1,1,0,0,0,1,4,7,0,0,0,0,0,0,0,0,0,0
1,1,0,0,2,0,0,0,0,0,0,1,0,1,2,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,1,0,2,11,0,0,1,2,1,0,0,0,0,0,0,0,2,5,0,0,2,1,0,0,0,8,0,0,0,0
1,3,0,2,2,0,0,0,0,0,0,2,0,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0
0,0,0,4,0,3,0,1,12,0,0,1,4,1,0,3,3,0,7,1,2,0,10,0,0,1,1,0,8,0,7,0,6,1,0
1,2,0,6,1,0,0,0,0,0,0,0,5,6,0,0,0,0,6,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0
0,0,0,3,0,0,0,1,1,0,0,0,7,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,13,2,0,4,0,0,0,0,1,17,1,2,0,0,0,8,0,0,4,0,0,0,0,7,0,4,0,4,0,0,8,0
1,19,0,5,3,0,0,0,0,4,9,1,3,1,9,1,1,0,6,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,4,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
1,12,1,0,0,0,4,0,1,3,0,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,3,0,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
1,19,2,7,3,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1,30,2,17,7,16,6,5,0,0,5,1,5,1,5,8,8,0,8,4,0,3,1,0,0,0,0,0,0,0,0,0,0,4,0
0,0,0,3,0,0,0,0,3,0,0,3,0,2,0,1,1,0,2,0,0,0,0,0,0,0,1,0,4,1,0,0,3,0,0
1,13,2,3,5,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,12,1,0,4,4,0,2,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
1,18,2,10,1,0,0,0,0,0,0,2,1,2,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0
0,0,0,17,1,0,0,0,0,0,6,1,10,1,6,8,8,0,3,0,0,0,0,0,4,0,1,0,0,1,0,19,3,2,0
1,10,0,1,1,0,0,1,2,4,0,0,3,0,0,0,0,0,2,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
1,20,2,12,2,0,0,0,0,0,0,1,0,1,0,10,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,16,2,0,0,6,2,0,8,1,2,7,3,0,0,0,11,2,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0
0,0,0,1,0,0,0,3,3,0,0,1,2,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,6,0,0,0
1,10,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
