y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
2,1,4,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,29,1,0,0,4,1,9,37,9,3,1,5,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,1,0,4,3,4,0,0,2,0,1,1,0,0,1,1,4,9,1,0,0,0,0,0,0,0,0,0,0
1,0,3,1,0,0,1,0,0,2,0,2,1,2,2,0,0,0,0,0,0,10,1,1,0,0,0,0,0,0,0
2,0,10,3,0,0,1,0,0,3,0,2,1,0,0,0,1,1,0,0,0,26,0,3,0,0,0,0,0,0,0
0,6,0,0,0,0,0,2,0,0,0,3,1,5,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0
1,0,2,2,0,0,2,0,3,0,3,5,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,1,1,0,1,0,0,1,3,0,0,1,1,0,0,1,0,3,0,6,1,0,0,0,0,0
1,3,1,0,0,0,5,0,0,2,0,4,0,0,2,0,0,0,0,0,0,15,0,1,0,0,3,0,0,0,0
2,4,0,1,1,0,2,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,2,1,0,0,6,1,0,1,0,2,0,0,0,2,1,1,0,6,4,0,6,0,0,0,0,0,0,0,0
0,0,4,1,5,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,2,2,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,4,0,0,3,3,0,0,3,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,3,0,0,0
0,6,2,3,0,0,5,0,0,0,0,3,1,2,6,0,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0
1,0,5,1,0,0,6,0,0,0,0,6,0,0,0,0,0,6,0,0,0,2,0,1,0,0,0,10,0,0,0
0,0,10,1,7,0,6,1,5,6,5,1,0,16,3,0,1,1,0,0,0,0,2,2,0,2,0,8,5,2,0
