y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99
2.0,-0.25623,-0.60959,0.8691,-1.04103,-1.08031,2.28014,-2.01174,-1.65797,1.85897,1.16875,1.26201,2.17852,0.81411,-1.15271,-0.57004,0.55298,-1.03042,-0.10169,-0.37237,1.72331,-0.4571,0.05691,-1.83924,1.73475,-1.12463,1.09544,1.4492,1.65438,1.6879,-0.95087,-1.41693,0.24648,-1.45409,1.52865,0.00067,-2.02887,-1.22802,-0.19669,0.18439,0.37732,-1.05834,1.32403,-0.35819,-0.63817,-1.64834,0.83881,1.50118,0.64202,-1.57447,0.18066,-1.79977,0.53358,-0.85793,0.87536,-0.24847,-1.07926,-1.03995,-0.80186,-0.29007,-1.09515,-0.78396,-1.59111,-1.54713,-0.07782,1.89424,-1.27314,1.37446,-1.78362,0.88108,-1.10716,1.17352,0.05411,-2.23752,-0.80851,-1.74905,0.17586,0.61579,-1.12511,0.15639,0.89585,1.87104,-0.14216,1.66325,-1.97283,1.73284,0.17165,-1.50067,-0.7285,-1.67809,0.10501,-1.9175,-0.18748,-1.03527,-1.04641,-1.05022,0.44206,0.11829,0.50674,0.23276,2.05309
0.0,2.02277,0.06716,-1.12036,1.8119,1.27732,-0.53866,-0.6341,1.38019,-1.94224,-1.32338,-1.96521,-0.48319,0.83949,2.32991,0.86617,0.61038,0.48552,2.1317,2.01545,1.0412,-1.4837,-1.83741,-0.20191,0.95417,1.65413,-0.97694,-1.51519,-0.57097,-1.25714,1.8346,-1.80497,-1.01415,1.27622,-1.09642,1.81805,1.20908,-0.06092,0.45933,-0.05569,0.56027,1.25025,1.2916,0.90781,1.99488,-2.09083,-1.21002,0.91956,-1.19869,0.93857,-0.17612,0.59919,-0.14932,2.03034,-1.77714,1.47033,0.83843,-2.11495,0.99261,1.99395,-0.7212,1.05965,1.59631,1.11325,0.49728,-1.65057,-0.45518,-1.3218,-0.29893,0.42821,-1.13372,1.28109,-0.88645,-1.58815,0.62846,1.2054,-1.06954,-0.97573,1.44943,0.87022,-1.84464,-0.92113,1.50306,0.69389,0.38889,-1.52557,-0.18122,0.7559,-1.67031,-0.07566,-1.01773,0.65578,-1.75193,-0.39654,4.32377,-1.37044,-0.92523,-0.01026,0.76767,0.72715,-0.6454
0.0,-0.58211,0.09121,0.4,-0.4927,-1.25387,-0.12125,0.84725,-0.31351,-0.43186,0.46754,-0.18618,-0.7024,0.31928,-0.67511,-0.04543,-0.56771,-0.3377,-0.78984,-0.6642,-0.87259,0.73964,1.25883,-0.08462,-0.11158,-0.51955,0.44756,0.18003,-0.76277,0.11066,-0.67987,1.12112,0.8509,0.05334,0.39659,-0.20934,-0.34148,-0.11033,-0.75854,-0.45724,-0.40002,-0.56419,-1.16132,-0.17898,-0.65482,0.50412,0.41654,-0.79731,0.55865,-0.1752,0.01096,0.38891,-0.34333,-0.20266,0.44414,-0.56477,0.38704,1.30614,-0.35402,-0.65396,0.59191,1.04684,-0.15607,-0.32733,-0.26888,0.24688,0.11565,-1.09512,0.33817,-0.50504,0.878,-1.35682,0.1345,0.56834,-0.46424,-0.06117,1.01371,0.68667,-0.00559,-0.26729,0.60627,0.12058,-0.57475,-0.73761,0.39223,-0.42989,0.06593,-0.375,0.99356,0.89084,0.61817,0.74509,0.53579,-0.4508,-0.81868,0.50725,0.3307,1.49675,-0.72418,0.45716,-1.00278
1.0,-0.43448,-0.09451,-0.25145,0.23981,0.77909,-0.59208,0.5048,0.23896,-0.12666,-0.14353,0.03967,-0.6035,-0.93733,0.01914,0.48509,0.06896,0.12952,-0.00625,0.02358,-0.26755,-0.08965,0.09208,0.39801,-0.8516,0.28172,-0.28045,-0.01387,-0.66494,-0.66375,-0.17301,0.56011,-0.17915,0.16585,-0.20068,-0.67732,0.45058,0.50116,0.18188,0.15145,-0.11214,0.18022,-0.3282,-0.28002,-0.37868,0.60151,0.04026,-0.49207,0.11316,0.20594,-0.15078,-0.07051,0.00427,0.2858,0.1574,-0.22425,-0.21336,0.26818,-0.03086,-0.07362,0.30603,-0.52882,0.0741,-0.17698,-0.2963,-0.35207,0.4184,-0.36456,0.53135,-0.18039,0.43881,-0.4494,0.32791,0.95163,0.06267,0.35297,-0.24465,-0.23828,-0.2267,-0.27417,-0.35748,-0.34987,-0.3248,-0.52989,0.14195,-0.00684,-0.47194,0.24417,0.13162,0.50584,-0.12358,0.48454,0.42135,0.55335,0.60078,0.63841,0.09557,-0.38864,-0.27943,-0.33863,-0.59911
2.0,-0.32478,-0.0067,-0.52575,0.20797,0.84746,-0.5874,0.45731,0.29447,0.03934,-0.1104,-0.10065,-0.4792,-1.33328,0.12607,0.13097,0.30548,0.2983,0.0351,0.17409,-0.16665,-0.00444,-0.08023,0.53527,-0.63923,0.21067,-0.42639,-0.08049,-0.90887,-0.55446,-0.12117,0.5388,-0.21582,0.11445,-0.24554,-0.11252,0.41104,0.76263,0.37435,0.47728,0.17161,0.2895,-0.41506,-0.10882,-0.32575,0.43889,0.08729,-0.2855,0.03428,0.22032,-0.20632,-0.10347,0.16897,0.30293,0.04376,0.00054,-0.46202,0.62524,0.24747,0.00149,0.60654,-0.76981,0.00435,0.1809,-0.1975,-0.39957,0.29077,-0.61629,0.41071,-0.06736,0.53211,-0.56236,0.0969,0.86684,0.06964,0.47331,-0.54711,-0.53216,0.03617,-0.17338,-0.58965,-0.4023,-0.2618,-0.57058,0.13377,0.13478,-0.1914,0.32281,0.11261,0.30771,-0.31573,0.39946,0.35069,0.87568,0.14543,0.54939,-0.12273,-0.1508,-0.33608,-0.99921,-0.9361
0.0,-1.20808,-0.77244,1.12917,-0.73193,-1.222,-0.16655,0.47242,-0.60574,-0.79252,0.87799,0.49272,-0.98521,-0.03529,-0.9072,0.59718,-1.18146,-0.98204,-1.27856,-1.3921,-1.2839,1.32443,1.70331,-0.3847,-0.95271,-0.84009,1.23192,0.54664,-0.8595,-0.42106,-0.96105,1.34722,1.47361,-0.3117,0.76894,-1.06634,-0.36219,-0.78437,-1.59613,-1.25064,-1.18914,-0.992,-1.52541,-1.09094,-1.07186,1.11106,0.88359,-1.38488,1.03983,-0.53122,0.78202,0.33843,-1.35653,-0.70555,1.02156,-1.30268,0.11067,1.10422,-1.08976,-1.32667,0.05338,0.82946,-0.4454,-0.70537,-1.11083,-0.16484,1.09791,-0.63546,1.0813,-1.25399,1.44205,-1.3504,1.02721,0.88536,-1.24587,-0.51055,1.70173,1.49219,-0.76749,-1.11564,1.17371,0.333,-1.20521,-1.20834,0.21301,-0.5527,-0.64272,-0.80328,1.56529,1.53638,1.478,1.07931,1.18314,-0.99408,-0.01109,1.25778,1.04113,1.46663,-1.29719,1.59285,-0.51362
1.0,0.75925,0.79488,-1.17832,1.07332,1.39215,-0.40607,0.13578,0.77455,0.2936,-0.89889,-0.72884,0.24504,-0.41797,0.99873,-0.37869,0.92044,0.98011,1.04943,1.08686,0.80983,-1.00823,-1.2086,0.73076,0.10828,1.232,-1.20409,-0.65159,0.34523,0.29664,0.68429,-0.47527,-1.31563,0.54619,-0.76571,0.40636,0.65055,1.08211,1.46089,1.13986,1.09863,1.04819,1.04546,0.9088,0.642,-0.74176,-0.86535,0.80486,-0.91818,0.84692,-0.90783,-0.02534,1.00077,0.84169,-0.85936,1.01112,0.27846,-0.1766,1.0681,1.15082,0.43702,-0.83297,0.75666,1.15678,0.85428,-0.38976,-0.63167,-0.2008,-0.55441,0.88342,-0.84677,0.5332,-0.79741,-0.09308,0.78501,0.74558,-1.52948,-1.3612,0.80332,0.76907,-1.31906,-0.7791,0.85032,0.48111,0.26138,0.24474,0.92247,0.91963,-1.25251,-0.76164,-1.24574,-0.73369,-0.76233,1.28448,0.22332,-0.62051,-0.95919,-1.48166,0.94343,-0.91516,-0.12613
0.0,-0.34731,-0.43706,0.59719,-0.61842,-1.0776,0.53277,-0.06924,-0.70461,0.18169,0.59729,0.20754,0.26468,0.61661,-0.74315,-0.24352,-0.2285,-0.58765,-0.49414,-0.53944,-0.00854,0.53644,0.83897,-0.52862,0.34,-0.3986,0.7339,0.59112,0.03546,0.51647,-0.39901,-0.02126,0.87271,-0.40643,0.57683,0.39868,-0.72294,-0.65847,-0.5976,-0.37687,-0.37018,-0.65366,-0.27521,-0.2561,-0.35285,0.13532,0.55336,-0.03863,0.47871,-0.50024,0.33257,0.01846,-0.21603,-0.35037,0.3565,-0.49001,-0.10246,-0.06337,-0.45387,-0.49565,-0.10568,0.40525,-0.46106,-0.76015,-0.28317,0.67583,-0.16863,-0.1118,-0.14009,-0.20608,0.3627,-0.27842,0.1795,-0.42968,-0.31915,-0.59132,0.8069,0.62395,-0.42835,-0.20721,0.80404,0.58045,-0.38188,0.09693,-0.44428,0.12721,-0.1129,-0.60723,0.31298,0.16571,0.59824,0.09566,0.23351,-0.84678,-0.3403,-0.05204,0.29903,0.96684,-0.27329,-0.03453,0.30635
1.0,0.09079,0.75204,-1.30869,0.79651,1.70065,-0.96841,0.61715,0.81963,0.3924,-0.75241,-0.3705,-0.34794,-1.66542,0.66279,-0.25789,0.91786,1.13005,0.8196,0.80875,0.31664,-0.81895,-0.93346,1.18572,-0.79387,1.0461,-1.18894,-0.44005,-0.20555,-0.33776,0.24472,0.38494,-1.15682,0.45389,-0.81439,-0.26518,0.92677,1.7943,1.29866,1.16219,0.97319,0.88768,0.30251,0.53467,-0.20553,0.23054,-0.50203,0.1225,-0.58768,0.77665,-1.11584,-0.07915,0.97224,0.62267,-0.38767,0.51604,-0.107,0.62612,0.90941,0.69929,1.18134,-1.22379,0.48666,0.7531,0.44732,-0.29651,-0.19248,-0.86073,0.03208,0.64619,-0.22321,-0.18969,-0.39416,1.18764,0.81615,0.96611,-1.47925,-1.38082,0.43948,0.46411,-1.35696,-1.01911,0.28042,-0.28521,0.3536,0.26283,0.56219,1.048,-0.64237,-0.1,-1.19812,-0.09878,-0.06533,1.79402,-0.34181,0.23619,-0.73507,-1.3715,0.21741,-1.73589,-1.02395
2.0,-0.87047,-1.03849,1.11713,-1.08828,-1.04485,1.0374,-0.79009,-1.23884,0.48862,1.1997,1.23651,0.49592,0.19412,-1.06915,0.20372,-0.45928,-1.11545,-0.8714,-1.06565,0.12143,0.89883,0.91924,-1.18577,0.21257,-1.17224,1.07042,1.21394,-0.14158,0.43453,-1.17244,0.07917,1.05455,-1.07828,1.2875,-0.89697,-1.13982,-1.00639,-1.05923,-0.80314,-0.64612,-1.21221,-0.0735,-0.93923,-0.96689,-0.14827,1.12639,-0.18611,1.09586,-1.23454,0.92365,-1.1148,-0.70752,-1.28103,1.11461,-0.9591,-0.94351,0.23656,-1.09289,-0.98276,-0.68266,-0.4366,-1.19064,-1.023,-0.91512,0.65882,0.28081,0.29419,-0.11126,-0.41509,0.42781,-0.22153,0.80577,-0.61795,-1.2611,-1.14384,0.90664,1.23292,-1.13019,-0.9097,1.12423,1.20826,-0.98152,-0.07957,-0.87232,0.61303,-0.5152,-1.2732,0.62467,0.05488,1.01272,-0.21398,0.81266,-1.05444,-0.34131,0.42208,1.03179,0.91183,-0.8099,1.07368,0.6277
